weather,feature,modality,frames,sequences,centroid_norm,centroid_L2_from_normal,centroid_cos_from_normal,centroid_cos_distance_from_normal,frame_mean_rms_spread,mean_within_frame_scatter
sleet,common,LiDAR,1106,7,21.900767634433333,0.9164003246794501,0.9992426210229431,0.0007573789770568551,1.164690124527676,18.448183059692383
sleet,common,4D Radar,1106,7,23.55976472734437,1.2738556714098315,0.9988457590780699,0.001154240921930061,2.3135824338933957,26.02748680114746
sleet,unique,Camera,1106,7,24.485136155540086,0.07754706257700551,0.9999949849531293,5.015046870671114e-06,0.1622874988700414,0.006524373777210712
sleet,unique,LiDAR,1106,7,15.098515305636985,6.560382398193227,0.9199625161608699,0.08003748383913012,7.202855490197835,68.60228729248047
sleet,unique,4D Radar,1106,7,19.94588826210583,0.5490308006775289,0.9996318886874488,0.00036811131255121143,2.7141009251736774,22.45676612854004
lightsnow,raw,Camera,803,4,14.076910376230437,1.1495843598172693,0.9966600326320479,0.003339967367952057,2.3680627589381213,2.099311351776123
lightsnow,raw,LiDAR,803,4,13.365442767450956,2.7640899965386603,0.978516134706514,0.021483865293486004,2.9565489820092496,43.358821868896484
lightsnow,raw,4D Radar,803,4,14.221826851750484,0.8973146279852313,0.9980329539181364,0.0019670460818635993,2.6039760552350852,28.32427215576172
lightsnow,common,Camera,803,4,25.665403770437848,0.03180412745389585,0.9999992326211588,7.673788412487781e-07,0.07297389046791024,0.0021297528874129057
lightsnow,common,LiDAR,803,4,21.524954563974415,0.5410004429185938,0.9996850129199345,0.0003149870800654986,0.8633259835001774,30.43113136291504
lightsnow,common,4D Radar,803,4,24.014018280745514,0.6167420559017934,0.9996808548397031,0.000319145160296852,1.6247852728754708,15.901103019714355
lightsnow,unique,Camera,803,4,24.485007432757502,0.05160031215841643,0.9999977795769139,2.2204230860634055e-06,0.1680203360173499,0.008405919186770916
lightsnow,unique,LiDAR,803,4,15.938241393309934,4.5727745091004,0.9619125612436866,0.038087438756313374,3.8570884257976337,80.86302947998047
lightsnow,unique,4D Radar,803,4,20.067380777512554,0.6048105782356504,0.9995466263019155,0.0004533736980845138,1.90980862881833,23.294557571411133
heavysnow,raw,Camera,1098,7,14.129296511767214,0.7791895727583219,0.9984905843372385,0.0015094156627615263,2.092521085723904,1.9606034755706787
heavysnow,raw,LiDAR,1098,7,13.522403837522004,3.3048411795024815,0.969768267002254,0.030231732997745953,3.7761701507189853,33.4560661315918
heavysnow,raw,4D Radar,1098,7,14.177373475826755,1.8689123346917222,0.9914169837514033,0.008583016248596698,2.925940116309965,28.266687393188477
heavysnow,common,Camera,1098,7,25.66574621035049,0.023875328425664092,0.9999995674368665,4.325631335344582e-07,0.06803919065817568,0.0022529156412929296
heavysnow,common,LiDAR,1098,7,21.738919145207795,0.7525855824690239,0.9994346359787842,0.000565364021215764,1.2008644167898905,23.420007705688477
heavysnow,common,4D Radar,1098,7,23.65383969002107,0.7100005132491234,0.9997465634682937,0.0002534365317062859,2.2858443536945074,22.613218307495117
heavysnow,unique,Camera,1098,7,24.48427328894317,0.03340684180835246,0.9999990692162705,9.307837295358112e-07,0.145433169084347,0.00829221773892641
heavysnow,unique,LiDAR,1098,7,15.51167147996539,5.567591050756316,0.9430533716403022,0.05694662835969777,6.993501948463919,60.05619430541992
heavysnow,unique,4D Radar,1098,7,19.834095255221424,0.4567831702444396,0.9997863244143735,0.0002136755856264605,2.832408895535181,24.623327255249023
