method,condition,cls,metric,iou,gt_objects,has_gt,ap,strong_minus_method
ASF_local,day,sed,3d,0.3,19961,True,76.68171495258453,0.05897583286969166
ASF_local,day,sed,bev,0.7,19961,True,44.038728220365925,0.5499496175482292
ASF_local,day,sed,bev,0.5,19961,True,73.6229633856763,0.018363061459012897
ASF_local,day,sed,bev,0.3,19961,True,79.35671389389049,-0.0450223978959059
ASF_local,day,bus,3d,0.7,3603,True,5.893109498984347,-1.2717517936991305
ASF_local,day,bus,3d,0.5,3603,True,24.604520907511894,2.1910824505367543
ASF_local,day,bus,3d,0.3,3603,True,53.03166568140073,0.6423042840812627
ASF_local,day,bus,bev,0.7,3603,True,13.659844767462587,1.9180015025285932
ASF_local,day,bus,bev,0.5,3603,True,40.94117900908485,0.8788426840142236
ASF_local,day,bus,bev,0.3,3603,True,56.91523497710723,0.06845337952686492
ASF_local,night,sed,3d,0.7,9652,True,10.22372164072132,1.9476355871037185
ASF_local,night,sed,3d,0.5,9652,True,46.13820932721902,0.775314773339467
ASF_local,night,sed,3d,0.3,9652,True,69.99736529648956,0.27763560211317895
ASF_local,night,sed,bev,0.7,9652,True,39.61404633304071,2.6438642704133386
ASF_local,night,sed,bev,0.5,9652,True,64.07458915365082,2.391877021098537
ASF_local,night,sed,bev,0.3,9652,True,73.45215062824795,-0.0321860060954009
ASF_local,night,bus,3d,0.7,2240,True,10.135766555929466,8.0612921447156
ASF_local,night,bus,3d,0.5,2240,True,32.12352034011734,10.563559454443372
ASF_local,night,bus,3d,0.3,2240,True,57.510570573812636,6.317757432303793
ASF_local,night,bus,bev,0.7,2240,True,22.114299216932285,11.524957492024374
ASF_local,night,bus,bev,0.5,2240,True,56.25698641757757,6.017295470188806
ASF_local,night,bus,bev,0.3,2240,True,74.7162932138389,3.3131257103053713
ASF_local,urban,sed,3d,0.7,12032,True,14.082322548249405,0.7694237647697548
ASF_local,urban,sed,3d,0.5,12032,True,54.734124094475746,2.597606118490255
ASF_local,urban,sed,3d,0.3,12032,True,77.49162474567606,0.4599313453004612
ASF_local,urban,sed,bev,0.7,12032,True,47.899502070110515,2.492830836947242
ASF_local,urban,sed,bev,0.5,12032,True,73.86459168297692,0.6155237001270422
ASF_local,urban,sed,bev,0.3,12032,True,80.62121802102948,0.16065321694375712
ASF_local,urban,bus,3d,0.7,748,True,16.961427195749202,3.0564600667730986
ASF_local,urban,bus,3d,0.5,748,True,44.44745584705285,3.3523613982825182
ASF_local,urban,bus,3d,0.3,748,True,87.37512776250581,-2.1913488363068154
ASF_local,urban,bus,bev,0.7,748,True,42.13975962850432,1.1183691019051096
ASF_local,urban,bus,bev,0.5,748,True,83.39543660308485,-4.686496092168866
ASF_local,urban,bus,bev,0.3,748,True,88.32550384702215,-2.8045572059551063
ASF_local,highway,sed,3d,0.7,8175,True,5.239894193047869,0.1262414805425971
ASF_local,highway,sed,3d,0.5,8175,True,56.0233096248977,0.05971738320825892
ASF_local,highway,sed,3d,0.3,8175,True,83.2245241802804,-0.16645823904524093
ASF_local,highway,sed,bev,0.7,8175,True,41.53378393688206,0.2535448804411189
ASF_local,highway,sed,bev,0.5,8175,True,79.71028730945888,-0.12676407807842338
ASF_local,highway,sed,bev,0.3,8175,True,85.97118907446226,-0.24402463040972577
ASF_local,highway,bus,3d,0.7,3774,True,6.88979231289055,2.816448571689196
ASF_local,highway,bus,3d,0.5,3774,True,26.473632520138334,6.658501249411604
ASF_local,highway,bus,3d,0.3,3774,True,52.093761724423125,5.358321019323455
ASF_local,highway,bus,bev,0.7,3774,True,15.618913971382392,5.987233736604848
ASF_local,highway,bus,bev,0.5,3774,True,45.8853837837409,4.947480457953844
ASF_local,highway,bus,bev,0.3,3774,True,64.78477420515686,3.2908826518050773
ASF_local,countryside,sed,3d,0.7,363,True,9.699165434528869,-1.5725852324726102
