project,method,experiment,result_kind,split_scope,condition,conf,class,epoch,checkpoint,bev_0_7,3d_0_7,bev_0_5,3d_0_5,bev_0_3,3d_0_3,mean_available,mean_3d_available,source_path,source_note,comparability_note
asf_patch_dec,DecControlledASF Gentle,exp_260729_213501_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,subset_eval_summary,subset_eval,subset_all,0.3,sed,0,/home/hongsheng/asf_patch_dec/logs/exp_260728_181732_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_0.pt,34.38,7.22,66.76,46.76,72.96,70.19,49.711666666666666,41.39,/home/hongsheng/asf_patch_dec/logs/exp_260729_213501_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/subset_eval_summary.json,,
asf_patch_dec,DecControlledASF Gentle,exp_260729_213501_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,subset_eval_summary,subset_eval,subset_all,0.3,sed,1,/home/hongsheng/asf_patch_dec/logs/exp_260728_181732_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_1.pt,38.47,5.69,68.51,48.32,75.08,72.0,51.345,42.00333333333334,/home/hongsheng/asf_patch_dec/logs/exp_260729_213501_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/subset_eval_summary.json,,
asf_patch_dec,DecControlledASF Gentle,exp_260729_213501_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,subset_eval_summary,subset_eval,subset_all,0.3,sed,2,/home/hongsheng/asf_patch_dec/logs/exp_260728_181732_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_2.pt,41.76,11.03,68.92,49.37,75.4,72.55,53.17166666666666,44.31666666666666,/home/hongsheng/asf_patch_dec/logs/exp_260729_213501_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/subset_eval_summary.json,,
asf_patch_dec,DecControlledASF Gentle,exp_260729_213501_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,subset_eval_summary,subset_eval,subset_all,0.3,sed,3,/home/hongsheng/asf_patch_dec/logs/exp_260728_181732_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_3.pt,36.06,3.67,68.58,44.39,75.09,72.08,49.97833333333333,40.04666666666667,/home/hongsheng/asf_patch_dec/logs/exp_260729_213501_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/subset_eval_summary.json,,
asf_patch_dec,DecControlledASF Gentle,exp_260729_213501_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,subset_eval_summary,subset_eval,subset_all,0.3,sed,4,/home/hongsheng/asf_patch_dec/logs/exp_260728_181732_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_4.pt,42.69,11.33,69.33,50.41,75.52,72.86,53.69,44.86666666666667,/home/hongsheng/asf_patch_dec/logs/exp_260729_213501_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/subset_eval_summary.json,,
asf_patch_dec,DecControlledASF Gentle,exp_260729_213501_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,subset_eval_summary,subset_eval,subset_all,0.3,sed,5,/home/hongsheng/asf_patch_dec/logs/exp_260728_181732_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_5.pt,33.81,6.42,68.85,45.94,75.2,71.96,50.36333333333334,41.44,/home/hongsheng/asf_patch_dec/logs/exp_260729_213501_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/subset_eval_summary.json,,
asf_patch_dec,DecControlledASF Gentle,exp_260729_213501_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,subset_eval_summary,subset_eval,subset_all,0.3,sed,6,/home/hongsheng/asf_patch_dec/logs/exp_260728_181732_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_6.pt,42.19,11.88,69.32,49.89,75.53,72.75,53.593333333333334,44.84,/home/hongsheng/asf_patch_dec/logs/exp_260729_213501_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/subset_eval_summary.json,,
asf_patch_dec,ObjPatchDec Strong,exp_260729_213503_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,subset_eval_summary,subset_eval,subset_all,0.3,sed,0,/home/hongsheng/asf_patch_dec/logs/exp_260728_181732_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_0.pt,17.26,3.89,53.98,30.88,68.19,64.14,39.723333333333336,32.97,/home/hongsheng/asf_patch_dec/logs/exp_260729_213503_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/subset_eval_summary.json,,
asf_patch_dec,ObjPatchDec Strong,exp_260729_213503_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,subset_eval_summary,subset_eval,subset_all,0.3,sed,1,/home/hongsheng/asf_patch_dec/logs/exp_260728_181732_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_1.pt,13.04,3.36,56.58,28.87,72.32,66.74,40.151666666666664,32.99,/home/hongsheng/asf_patch_dec/logs/exp_260729_213503_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/subset_eval_summary.json,,
asf_patch_dec,ObjPatchDec Strong,exp_260729_213503_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,subset_eval_summary,subset_eval,subset_all,0.3,sed,2,/home/hongsheng/asf_patch_dec/logs/exp_260728_181732_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_2.pt,39.76,9.38,66.26,46.64,73.01,72.27,51.22,42.76333333333333,/home/hongsheng/asf_patch_dec/logs/exp_260729_213503_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/subset_eval_summary.json,,
