frame_idx,seq,sample_id,weather,patch_idx,foreground,camera,lidar,radar,dominant,dominant_value,dominance_margin,entropy,balance_score,fg_gate
2,1,00184,urban,1221,1,0.005107,0.994172,0.000721,L,0.994172,0.989065,0.034567,0.006549,0.174084
2,1,00184,urban,401,1,0.000007,0.999992,0.000001,L,0.999992,0.999986,0.000094,0.000009,0.492717
2,1,00184,urban,1128,1,0.000017,0.999981,0.000002,L,0.999981,0.999964,0.000215,0.000022,0.435891
2,1,00184,urban,398,1,0.000004,0.999996,0.000001,L,0.999996,0.999992,0.000054,0.000005,0.541643
2,1,00184,urban,487,1,0.001044,0.998806,0.000150,L,0.998806,0.997762,0.008812,0.001344,0.352177
2,1,00184,urban,492,1,0.005772,0.993465,0.000763,L,0.993465,0.987693,0.037997,0.007298,0.140981
2,1,00184,urban,577,1,0.002901,0.996614,0.000486,L,0.996614,0.993713,0.021878,0.003872,0.275735
2,1,00184,urban,1124,1,0.011491,0.986961,0.001548,L,0.986961,0.975470,0.067624,0.014587,0.139932
2,1,00184,urban,306,1,0.002252,0.997446,0.000302,L,0.997446,0.995195,0.017045,0.002856,0.172162
2,1,00184,urban,373,0,0.004976,0.994420,0.000604,L,0.994420,0.989444,0.033159,0.006184,0.081925
2,1,00184,urban,1084,0,0.002016,0.997579,0.000405,L,0.997579,0.995563,0.016469,0.002826,0.301361
2,1,00184,urban,653,0,0.009055,0.989745,0.001200,L,0.989745,0.980689,0.055408,0.011455,0.100786
2,1,00184,urban,76,0,0.001536,0.998281,0.000183,L,0.998281,0.996744,0.012056,0.001902,0.118083
2,1,00184,urban,1339,0,0.004779,0.994624,0.000596,L,0.994624,0.989845,0.032156,0.005972,0.109890
2,1,00184,urban,421,0,0.003392,0.996128,0.000480,L,0.996128,0.992736,0.024414,0.004352,0.142415
2,1,00184,urban,650,0,0.006706,0.992350,0.000944,L,0.992350,0.985644,0.043470,0.008594,0.099345
2,1,00184,urban,361,0,0.010425,0.987766,0.001808,L,0.987766,0.977341,0.064769,0.014042,0.142412
2,1,00184,urban,916,0,0.006808,0.992070,0.001122,L,0.992070,0.985262,0.045049,0.009053,0.156635
2,1,00184,urban,1247,0,0.002313,0.997396,0.000291,L,0.997396,0.995083,0.017303,0.002895,0.122155
2,1,00184,urban,263,0,0.001259,0.998585,0.000156,L,0.998585,0.997326,0.010181,0.001570,0.140709
2,1,00184,urban,946,0,0.001658,0.998118,0.000223,L,0.998118,0.996460,0.013083,0.002105,0.130498
2,1,00184,urban,803,0,0.003889,0.995671,0.000440,L,0.995671,0.991782,0.026674,0.004769,0.104174
2,1,00184,urban,1370,0,0.002598,0.997010,0.000393,L,0.997010,0.994412,0.019598,0.003383,0.160670
2,1,00184,urban,1060,0,0.003566,0.995942,0.000492,L,0.995942,0.992376,0.025394,0.004551,0.188739
2,1,00184,urban,121,0,0.009530,0.989331,0.001138,L,0.989331,0.979801,0.057048,0.011807,0.120638
2,1,00184,urban,1320,0,0.005158,0.994188,0.000654,L,0.994188,0.989030,0.034371,0.006467,0.107503
2,1,00184,urban,663,0,0.013931,0.984317,0.001751,L,0.984317,0.970386,0.078475,0.017434,0.105695
2,1,00184,urban,74,0,0.001615,0.998165,0.000220,L,0.998165,0.996551,0.012804,0.002055,0.142762
2,1,00184,urban,1280,0,0.006290,0.992762,0.000947,L,0.992762,0.986472,0.041589,0.008185,0.142123
2,1,00184,urban,1095,0,0.009479,0.988819,0.001702,L,0.988819,0.979340,0.060192,0.012882,0.190460
2,1,00184,urban,726,0,0.016083,0.981795,0.002122,L,0.981795,0.965712,0.088768,0.020327,0.093513
2,1,00184,urban,1201,0,0.009653,0.988660,0.001687,L,0.988660,0.979007,0.060844,0.013028,0.215775
2,1,00184,urban,645,0,0.011087,0.987388,0.001525,L,0.987388,0.976301,0.065844,0.014137,0.101663
3,1,00185,urban,582,1,0.020311,0.976972,0.002717,L,0.976972,0.956660,0.107370,0.025745,0.135324
3,1,00185,urban,1216,1,0.000001,0.999999,0.000000,L,0.999999,0.999997,0.000020,0.000002,0.486007
3,1,00185,urban,492,1,0.026258,0.970264,0.003478,L,0.970264,0.944006,0.131578,0.033214,0.149649
3,1,00185,urban,581,1,0.012320,0.985946,0.001734,L,0.985946,0.973627,0.072038,0.015788,0.129599
3,1,00185,urban,311,1,0.016540,0.981163,0.002298,L,0.981163,0.964623,0.091446,0.021135,0.144805
3,1,00185,urban,396,1,0.000854,0.999020,0.000127,L,0.999020,0.998166,0.007418,0.001107,0.238130
3,1,00185,urban,1213,1,0.000000,1.000000,0.000000,L,1.000000,0.999999,0.000006,0.000001,0.803087
3,1,00185,urban,1212,1,0.000033,0.999961,0.000006,L,0.999961,0.999928,0.000412,0.000045,0.495219
3,1,00185,urban,489,1,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000003,0.000000,0.729775
3,1,00185,urban,1392,1,0.036316,0.957120,0.006563,L,0.957120,0.920804,0.177807,0.049443,0.248115
3,1,00185,urban,1214,1,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000003,0.000000,0.773855
3,1,00185,urban,309,1,0.004778,0.994436,0.000786,L,0.994436,0.989658,0.033408,0.006351,0.227136
3,1,00185,urban,1036,1,0.000516,0.999406,0.000078,L,0.999406,0.998890,0.004767,0.000672,0.241639
3,1,00185,urban,397,1,0.004087,0.995271,0.000642,L,0.995271,0.991184,0.029052,0.005371,0.264489
3,1,00185,urban,487,1,0.006137,0.992918,0.000945,L,0.992918,0.986780,0.040869,0.008028,0.287109
3,1,00185,urban,1395,1,0.002981,0.996540,0.000478,L,0.996540,0.993559,0.022253,0.003938,0.155831
3,1,00185,urban,1122,1,0.004139,0.995153,0.000708,L,0.995153,0.991014,0.029751,0.005556,0.314942
3,1,00185,urban,1396,1,0.005373,0.993785,0.000842,L,0.993785,0.988412,0.036626,0.007057,0.135821
3,1,00185,urban,486,1,0.002554,0.997100,0.000346,L,0.997100,0.994546,0.019026,0.003246,0.182232
3,1,00185,urban,488,1,0.000022,0.999975,0.000003,L,0.999975,0.999953,0.000271,0.000028,0.518131
3,1,00185,urban,1125,1,0.000007,0.999992,0.000001,L,0.999992,0.999985,0.000098,0.000009,0.518367
3,1,00185,urban,1306,1,0.000440,0.999493,0.000067,L,0.999493,0.999053,0.004141,0.000573,0.189726
3,1,00185,urban,306,1,0.006858,0.992178,0.000963,L,0.992178,0.985320,0.044284,0.008785,0.159747
3,1,00185,urban,490,1,0.000001,0.999999,0.000000,L,0.999999,0.999999,0.000011,0.000001,0.659992
3,1,00185,urban,399,1,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000000,0.000000,0.768476
3,1,00185,urban,1215,1,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000004,0.000000,0.632109
