method,baseline,cls,group,gt,common_tp_3D,gained,lost,recall_delta_3D,recall_delta_BEV,common_tp_objdec_lr_xy_m,common_tp_l4dr_xy_m,common_tp_objdec_lr_z_m,common_tp_l4dr_z_m,common_tp_objdec_lr_size_l1_m,common_tp_l4dr_size_l1_m,common_tp_objdec_lr_yaw_axis_deg,common_tp_l4dr_yaw_axis_deg,common_tp_objdec_clr_xy_m,common_tp_asf_xy_m,common_tp_objdec_clr_z_m,common_tp_asf_z_m,common_tp_objdec_clr_size_l1_m,common_tp_asf_size_l1_m,common_tp_objdec_clr_yaw_axis_deg,common_tp_asf_yaw_axis_deg
objdec_clr,asf,all,radar:21+,3009,2888,15,40,-0.008308408109006314,-0.006646726487205052,,,,,,,,,0.08072883020193185,0.07932964458678193,0.03389082125122362,0.032763744758924476,0.16906333719883268,0.1652581829711836,2.8394685584213715,2.8163456029452245
objdec_lr,l4dr,Vehicle,all,4866,4142,184,152,0.006576243321002877,0.0026715988491574187,0.09966001020735898,0.09836903683766916,0.040907282448804996,0.04128209460335134,0.19938326074788099,0.1985647202343943,1.5731929117219743,1.5771245192461703,,,,,,,,
objdec_clr,asf,Vehicle,all,4866,4124,142,197,-0.011302918207973694,-0.004521167283189478,,,,,,,,,0.0987176850075548,0.09870647177722117,0.041831180708036625,0.0395148213892709,0.1946383504816679,0.19141018035108898,1.5151162423107187,1.5564312765377137
objdec_lr,l4dr,Vehicle,range:0-30,2082,2010,20,18,0.0009606147934678194,0.004322766570605188,0.0825182178582468,0.08059425048109617,0.029653268552093364,0.02831969447294945,0.168680572153917,0.17176344934387586,1.232081324650189,1.2263354777043642,,,,,,,,
objdec_clr,asf,Vehicle,range:0-30,2082,2010,8,23,-0.007204610951008645,-0.004322766570605188,,,,,,,,,0.08124707225080005,0.08066671785860281,0.02878895693305713,0.028370825857832214,0.16662318065984924,0.16159597362451886,1.2233675861025213,1.2349289444140834
objdec_lr,l4dr,Vehicle,range:30-60,1953,1630,77,73,0.002048131080389145,0.0,0.1114689772872917,0.11154301472571021,0.04708756013242014,0.04714571259961538,0.21553403804638635,0.2125181355359364,1.809939215058347,1.7754184451847976,,,,,,,,
objdec_clr,asf,Vehicle,range:30-60,1953,1620,59,90,-0.015873015873015872,-0.006144393241167435,,,,,,,,,0.1121064127675821,0.11365870355698855,0.04959271176269761,0.045576142992272424,0.21250518876829266,0.21144987668520138,1.7274535372989839,1.7613324214981925
objdec_lr,l4dr,Vehicle,range:60+,831,502,87,61,0.031287605294825514,0.0048134777376654635,0.12995161634565616,0.1267629344854875,0.06590073923784423,0.07414410043641391,0.2698745696668131,0.26056967551014815,2.170280193745878,2.337815503746306,,,,,,,,
objdec_clr,asf,Vehicle,range:60+,831,494,75,84,-0.010830324909747292,-0.0012033694344163659,,,,,,,,,0.1258962126792812,0.12307345536669437,0.0694449245929718,0.06498059066321686,0.25003554343211987,0.24700177439793883,2.0058619530343775,2.1926252699233832
objdec_lr,l4dr,Vehicle,lidar:0-5,88,0,9,0,0.10227272727272728,0.20454545454545456,,,,,,,,,,,,,,,,
