model,cls,group,gt,tp_3D,recall_3D,tp_BEV,recall_BEV,tp_mean_xy_m,tp_mean_z_m,tp_mean_size_l1_m,tp_mean_yaw_axis_deg
objdec_clr,Pedestrian,lidar:101+,1045,996,0.9531100478468899,1014,0.970334928229665,0.06313146761128581,0.04273690072348319,0.12788228819288883,11.11995402830088
objdec_lr,Pedestrian,lidar:101+,1045,1003,0.9598086124401913,1014,0.970334928229665,0.06453579897037777,0.04361881684151628,0.12817125006069097,11.731179448135991
asf,Pedestrian,lidar:101+,1045,1000,0.9569377990430622,1010,0.9665071770334929,0.06268735308060422,0.040897080324590204,0.12682537078857423,11.235447508316906
l4dr,Pedestrian,lidar:101+,1045,996,0.9531100478468899,1009,0.9655502392344497,0.06471286900411641,0.04069729985474762,0.1329843194250122,12.3378173525621
objdec_clr,Pedestrian,radar:0,1906,1549,0.8126967471143757,1646,0.863588667366212,0.06858239318038234,0.06424246980701052,0.14167704143164003,13.557421446245435
objdec_lr,Pedestrian,radar:0,1906,1584,0.8310598111227702,1666,0.8740818467995802,0.0688744257480574,0.06385662831892872,0.14317043136918184,14.949691596644321
asf,Pedestrian,radar:0,1906,1543,0.8095487932843651,1636,0.8583420776495279,0.06890494253185209,0.0616040789025485,0.14014582228753295,13.737853708859397
l4dr,Pedestrian,radar:0,1906,1577,0.8273871983210913,1641,0.8609653725078699,0.06948529232438647,0.06395638717448288,0.13984636600514946,15.186275769937618
objdec_clr,Pedestrian,radar:1-5,731,632,0.8645690834473324,656,0.8974008207934336,0.07071364773260548,0.058101920929702025,0.12883413003026684,13.13921937919351
objdec_lr,Pedestrian,radar:1-5,731,624,0.853625170998632,654,0.8946648426812586,0.06996809403827707,0.056698871322740346,0.1331317794915193,15.785472074159134
asf,Pedestrian,radar:1-5,731,626,0.8563611491108071,653,0.893296853625171,0.0691786612954568,0.05167796338994663,0.12599839841405425,14.882737610840898
l4dr,Pedestrian,radar:1-5,731,625,0.8549931600547196,651,0.8905608755129959,0.06932825503014028,0.05553928644657135,0.1286272469997406,15.935131419687293
objdec_clr,Pedestrian,radar:6-20,556,509,0.9154676258992805,517,0.9298561151079137,0.06641503277715947,0.04202358746692567,0.11860594984824625,11.856077904435608
objdec_lr,Pedestrian,radar:6-20,556,509,0.9154676258992805,512,0.920863309352518,0.06758345489404832,0.046222759955992634,0.12028891884507739,11.84810463185213
asf,Pedestrian,radar:6-20,556,506,0.9100719424460432,517,0.9298561151079137,0.0673067692829215,0.0402985797392521,0.11461828625484889,12.772739908987088
l4dr,Pedestrian,radar:6-20,556,508,0.9136690647482014,517,0.9298561151079137,0.0669891897760383,0.04097768500095277,0.12071599617717772,12.766905942198672
objdec_clr,Pedestrian,radar:21+,431,410,0.951276102088167,415,0.962877030162413,0.061095997039796554,0.03917524945445177,0.12568305956154335,9.132912367111148
objdec_lr,Pedestrian,radar:21+,431,418,0.9698375870069605,419,0.9721577726218097,0.0630451200433013,0.03981760871467408,0.12326427060736424,9.135787160048952
asf,Pedestrian,radar:21+,431,416,0.9651972157772621,418,0.9698375870069605,0.06144904515307504,0.03979879402770446,0.12408096794612132,8.860227701988116
l4dr,Pedestrian,radar:21+,431,414,0.9605568445475638,418,0.9698375870069605,0.06498289508700082,0.037487204524054046,0.13149373823605873,10.170670872951522
objdec_clr,Cyclist,all,3364,3033,0.9016052318668252,3108,0.9239001189060642,0.10064689514253004,0.052994839543709454,0.158882058614007,5.099162569325784
