variant,checkpoint,epoch,split,metric,value
patch,best,75,test_deduplicated,V2X/Vehicle_BEV_moderate_strict,88.6144741543632
patch,best,75,test_deduplicated,V2X/Vehicle_3D_hard_strict,78.17622267291424
patch,best,75,test_deduplicated,V2X/Vehicle_BEV_hard_strict,88.02601190100245
patch,best,75,test_deduplicated,V2X/Vehicle_3D_easy_loose,95.21364727252062
patch,best,75,test_deduplicated,V2X/Vehicle_BEV_easy_loose,95.84261852835778
patch,best,75,test_deduplicated,V2X/Vehicle_3D_moderate_loose,93.20401187757474
patch,best,75,test_deduplicated,V2X/Vehicle_BEV_moderate_loose,94.10829456504469
patch,best,75,test_deduplicated,V2X/Vehicle_3D_hard_loose,92.98932481730861
patch,best,75,test_deduplicated,V2X/Vehicle_BEV_hard_loose,93.67963992259394
patch,best,75,test_deduplicated,V2X/Pedestrian_3D_easy_strict,59.55595014320212
patch,best,75,test_deduplicated,V2X/Pedestrian_BEV_easy_strict,63.77112325735946
patch,best,75,test_deduplicated,V2X/Pedestrian_3D_moderate_strict,58.92541088099412
patch,best,75,test_deduplicated,V2X/Pedestrian_BEV_moderate_strict,63.50463528294951
patch,best,75,test_deduplicated,V2X/Pedestrian_3D_hard_strict,58.93888050866665
patch,best,75,test_deduplicated,V2X/Pedestrian_BEV_hard_strict,63.564206356096655
patch,best,75,test_deduplicated,V2X/Pedestrian_3D_easy_loose,79.96143033967836
patch,best,75,test_deduplicated,V2X/Pedestrian_BEV_easy_loose,80.56028558213937
patch,best,75,test_deduplicated,V2X/Pedestrian_3D_moderate_loose,78.84659721104346
patch,best,75,test_deduplicated,V2X/Pedestrian_BEV_moderate_loose,79.4292117678765
patch,best,75,test_deduplicated,V2X/Pedestrian_3D_hard_loose,78.83049246997469
patch,best,75,test_deduplicated,V2X/Pedestrian_BEV_hard_loose,79.43579293507764
patch,best,75,test_deduplicated,V2X/Cyclist_3D_easy_strict,82.30207212422117
patch,best,75,test_deduplicated,V2X/Cyclist_BEV_easy_strict,84.95212179490174
patch,best,75,test_deduplicated,V2X/Cyclist_3D_moderate_strict,79.01757792016681
patch,best,75,test_deduplicated,V2X/Cyclist_BEV_moderate_strict,82.49801470923464
patch,best,75,test_deduplicated,V2X/Cyclist_3D_hard_strict,78.9432893576205
patch,best,75,test_deduplicated,V2X/Cyclist_BEV_hard_strict,82.4443780942706
patch,best,75,test_deduplicated,V2X/Cyclist_3D_easy_loose,91.17209041307268
patch,best,75,test_deduplicated,V2X/Cyclist_BEV_easy_loose,91.31301867068665
patch,best,75,test_deduplicated,V2X/Cyclist_3D_moderate_loose,89.29236169756433
patch,best,75,test_deduplicated,V2X/Cyclist_BEV_moderate_loose,89.42191211650068
patch,best,75,test_deduplicated,V2X/Cyclist_3D_hard_loose,89.1983777960162
patch,best,75,test_deduplicated,V2X/Cyclist_BEV_hard_loose,89.35515702263255
patch,best,75,test_deduplicated,V2X/Overall_3D_easy,76.03255377930573
patch,best,75,test_deduplicated,V2X/Overall_BEV_easy,80.52435323810899
patch,best,75,test_deduplicated,V2X/Overall_3D_moderate,72.1726248492694
patch,best,75,test_deduplicated,V2X/Overall_BEV_moderate,78.20570804884912
patch,best,75,test_deduplicated,V2X/Overall_3D_hard,72.01946417973379
patch,best,75,test_deduplicated,V2X/Overall_BEV_hard,78.01153211712324
patch,last,80,val,V2X/Vehicle_3D_easy_strict,87.05617019509792
patch,last,80,val,V2X/Vehicle_BEV_easy_strict,91.40468800485743
patch,last,80,val,V2X/Vehicle_3D_moderate_strict,79.68654428772297
patch,last,80,val,V2X/Vehicle_BEV_moderate_strict,89.78946921098176
patch,last,80,val,V2X/Vehicle_3D_hard_strict,78.11795844752506
patch,last,80,val,V2X/Vehicle_BEV_hard_strict,88.17450296539727
patch,last,80,val,V2X/Vehicle_3D_easy_loose,94.11278023805497
patch,last,80,val,V2X/Vehicle_BEV_easy_loose,95.39807850536232
patch,last,80,val,V2X/Vehicle_3D_moderate_loose,93.29024136067797
