run,condition,class,metric,iou,ap,asf_ap,delta_pp
ASF official RLC,rain,sed,3D,0.7,17.18058831482299,17.18058831482299,0.0
ASF official RLC,rain,sed,BEV,0.3,69.15170618976515,69.15170618976515,0.0
ASF official RLC,rain,sed,BEV,0.5,62.269378265348685,62.269378265348685,0.0
ASF official RLC,rain,sed,BEV,0.7,43.52263057534297,43.52263057534297,0.0
ASF official RLC,rain,bus,3D,0.3,7.893203954541796,7.893203954541796,0.0
ASF official RLC,rain,bus,3D,0.5,2.4840301974448318,2.4840301974448318,0.0
ASF official RLC,rain,bus,3D,0.7,0.0,0.0,0.0
ASF official RLC,rain,bus,BEV,0.3,7.893203954541796,7.893203954541796,0.0
ASF official RLC,rain,bus,BEV,0.5,7.893203954541796,7.893203954541796,0.0
ASF official RLC,rain,bus,BEV,0.7,0.7998099461514095,0.7998099461514095,0.0
ASF official RLC,sleet,sed,3D,0.3,70.42968503556456,70.42968503556456,0.0
ASF official RLC,sleet,sed,3D,0.5,44.04536377990363,44.04536377990363,0.0
ASF official RLC,sleet,sed,3D,0.7,8.332399706694844,8.332399706694844,0.0
ASF official RLC,sleet,sed,BEV,0.3,74.00247266003682,74.00247266003682,0.0
ASF official RLC,sleet,sed,BEV,0.5,64.29971942503285,64.29971942503285,0.0
ASF official RLC,sleet,sed,BEV,0.7,40.477166488231234,40.477166488231234,0.0
ASF official RLC,sleet,bus,3D,0.3,59.549548818902096,59.549548818902096,0.0
ASF official RLC,sleet,bus,3D,0.5,38.831956170888624,38.831956170888624,0.0
ASF official RLC,sleet,bus,3D,0.7,8.738664961928992,8.738664961928992,0.0
ASF official RLC,sleet,bus,BEV,0.3,60.54280667676293,60.54280667676293,0.0
ASF official RLC,sleet,bus,BEV,0.5,50.64507343794078,50.64507343794078,0.0
ASF official RLC,sleet,bus,BEV,0.7,22.174883595120217,22.174883595120217,0.0
ASF official RLC,lightsnow,sed,3D,0.3,88.23847406405349,88.23847406405349,0.0
ASF official RLC,lightsnow,sed,3D,0.5,59.251436881905306,59.251436881905306,0.0
ASF official RLC,lightsnow,sed,3D,0.7,10.848713360826416,10.848713360826416,0.0
ASF official RLC,lightsnow,sed,BEV,0.3,90.85357079684266,90.85357079684266,0.0
ASF official RLC,lightsnow,sed,BEV,0.5,87.9794133975015,87.9794133975015,0.0
ASF official RLC,lightsnow,sed,BEV,0.7,67.89478918337454,67.89478918337454,0.0
