condition,class,metric,iou,asf_ap,decstrong_ap,delta_pp
shoulder,sed,3D,0.5,94.58454349247377,94.57080791966906,-0.013735572804705498
shoulder,sed,3D,0.7,65.77405586677395,77.38051348362906,11.60645761685511
shoulder,sed,BEV,0.3,99.8751358346124,99.83038797897997,-0.044747855632422784
shoulder,sed,BEV,0.5,97.45584458702352,97.42481899043605,-0.03102559658746884
shoulder,sed,BEV,0.7,91.51245419840147,90.76199212452104,-0.7504620738804277
shoulder,bus,3D,0.3,0.0,0.0,0.0
shoulder,bus,3D,0.5,0.0,0.0,0.0
shoulder,bus,3D,0.7,0.0,0.0,0.0
shoulder,bus,BEV,0.3,0.0,0.0,0.0
shoulder,bus,BEV,0.5,0.0,0.0,0.0
shoulder,bus,BEV,0.7,0.0,0.0,0.0
mountain,sed,3D,0.3,89.73177252636825,89.47650124812243,-0.2552712782458144
mountain,sed,3D,0.5,67.50128091242576,66.29358514248841,-1.2076957699373452
mountain,sed,3D,0.7,13.183441358301417,10.114399327195702,-3.069042031105715
mountain,sed,BEV,0.3,92.32416645520637,92.1312689546302,-0.19289750057616573
mountain,sed,BEV,0.5,91.98190998465427,91.63194436937057,-0.3499656152836934
mountain,sed,BEV,0.7,70.3354366985676,74.36676553071966,4.031328832152056
mountain,bus,3D,0.3,62.770121077896015,59.19952551026516,-3.5705955676308534
mountain,bus,3D,0.5,58.63868998244516,51.79729009014468,-6.84139989230048
mountain,bus,3D,0.7,17.87936282457588,15.122482154437296,-2.7568806701385853
mountain,bus,BEV,0.3,62.81632755638571,59.19952551026516,-3.6168020461205472
mountain,bus,BEV,0.5,62.34393124720492,56.0950666799367,-6.248864567268221
mountain,bus,BEV,0.7,40.825571448391415,38.34811226094517,-2.477459187446243
university,sed,3D,0.3,72.46310754511738,69.713438137072,-2.749669408045378
university,sed,3D,0.5,43.654345636383454,44.96284351787703,1.3084978814935795
university,sed,3D,0.7,5.918686971946433,4.998552200726408,-0.9201347712200247
university,sed,BEV,0.3,75.05350307985908,72.21129353206112,-2.842209547797964
university,sed,BEV,0.5,68.77298567749861,66.0374101367436,-2.7355755407550078
university,sed,BEV,0.7,32.52734026072008,30.40756965753455,-2.119770603185529
university,bus,3D,0.3,0.0,0.0,0.0
university,bus,3D,0.5,0.0,0.0,0.0
university,bus,3D,0.7,0.0,0.0,0.0
university,bus,BEV,0.3,0.0,0.0,0.0
university,bus,BEV,0.5,0.0,0.0,0.0
university,bus,BEV,0.7,0.0,0.0,0.0
