condition,cls,metric,iou,gt_objects,has_gt,l4dr_local_aligned,asf_official_archive,strong_rescored,strong_minus_l4dr,strong_minus_asf,local_gt_exact_match_l4dr_strong,asf_frame_gt_reverified
urban,sed,BEV,0.5,12032,True,71.87408918824018,74.76960621471763,74.48011538310396,2.6060261948637873,-0.2894908316136622,True,False
urban,sed,BEV,0.7,12032,True,52.897619474836134,50.836694047562126,50.39233290705776,-2.505286567778377,-0.4443611405043697,True,False
urban,bus,3D,0.3,748,True,67.70902560794276,86.24622015391492,85.183778926199,17.474753318256234,-1.0624412277159223,True,False
urban,bus,3D,0.5,748,True,41.9611939374828,45.14661479140337,47.79981724533537,5.838623307852572,2.6532024539319963,True,False
urban,bus,3D,0.7,748,True,21.945514500012155,13.19080014789471,20.0178872625223,-1.9276272374898547,6.8270871146275915,True,False
urban,bus,BEV,0.3,748,True,67.8306438128925,88.53903758982509,85.52094664106704,17.690302828174538,-3.0180909487580436,True,False
urban,bus,BEV,0.5,748,True,67.21646148451175,82.30261788411943,78.70894051091598,11.492479026404226,-3.593677373203448,True,False
urban,bus,BEV,0.7,748,True,52.526588208086736,38.80794482057661,43.25812873040943,-9.268459477677304,4.450183909832823,True,False
highway,sed,3D,0.3,8175,True,82.22115562991851,81.45046674612678,83.05806594123516,0.8369103113166432,1.607599195108378,True,False
highway,sed,3D,0.5,8175,True,54.228101845716694,55.73026706875257,56.08302700810596,1.8549251623892644,0.35275993935339045,True,False
highway,sed,3D,0.7,8175,True,7.51743454043791,6.244769341412074,5.366135673590466,-2.151298866847444,-0.8786336678216085,True,False
highway,sed,BEV,0.3,8175,True,85.14505393950269,84.34393180859784,85.72716444405253,0.5821105045498456,1.3832326354546893,True,False
highway,sed,BEV,0.5,8175,True,78.70326599706947,78.05297775458348,79.58352323138045,0.8802572343109887,1.5305454767969735,True,False
highway,sed,BEV,0.7,8175,True,46.103756230402496,41.99861999751438,41.78732881732318,-4.316427413079317,-0.2112911801912034,True,False
highway,bus,3D,0.3,3774,True,62.01945771783394,56.79300374524857,57.45208274374658,-4.5673749740873575,0.6590789984980105,True,False
highway,bus,3D,0.5,3774,True,40.9973401412801,29.334711576873406,33.13213376954994,-7.86520637173016,3.7974221926765317,True,False
highway,bus,3D,0.7,3774,True,10.213326483088915,8.114078627460296,9.706240884579746,-0.5070855985091693,1.5921622571194494,True,False
highway,bus,BEV,0.3,3774,True,67.68942750382796,68.39847864916388,68.07565685696194,0.38622935313398443,-0.3228217922019354,True,False
highway,bus,BEV,0.5,3774,True,55.45298372842726,51.451891907410385,50.83286424169474,-4.62011948673252,-0.6190276657156417,True,False
highway,bus,BEV,0.7,3774,True,27.720948034670545,18.690332636240395,21.60614770798724,-6.114800326683305,2.915815071746845,True,False
countryside,sed,3D,0.3,363,True,79.04358827935017,65.56484751745663,60.01597669605143,-19.027611583298743,-5.548870821405195,True,False
countryside,sed,3D,0.5,363,True,42.956158943152396,43.50148816290062,34.23701683143703,-8.719142111715364,-9.26447133146359,True,False
countryside,sed,3D,0.7,363,True,7.554221902447994,6.530115388438913,8.126580202056259,0.5723582996082648,1.5964648136173452,True,False
countryside,sed,BEV,0.3,363,True,80.42597377161869,69.847527648194,65.32674491177677,-15.099228859841915,-4.520782736417232,True,False
countryside,sed,BEV,0.5,363,True,71.76368076072858,60.368185366711856,55.9302485379546,-15.833432222773979,-4.437936828757259,True,False
countryside,sed,BEV,0.7,363,True,40.05800081968188,27.25403185255677,23.279986194122856,-16.778014625559024,-3.9740456584339157,True,False
countryside,bus,3D,0.3,173,True,41.7718039376667,32.68170426065163,24.83445764156118,-16.937346296105517,-7.847246619090448,True,False
countryside,bus,3D,0.5,173,True,25.345737993462407,15.098722415795587,12.315423023283047,-13.03031497017936,-2.7832993925125393,True,False
countryside,bus,3D,0.7,173,True,3.1136481577581736,1.9744483159117305,1.5864868372921757,-1.527161320465998,-0.3879614786195549,True,False
countryside,bus,BEV,0.3,173,True,45.33047479145438,36.0397184999518,27.346297537122016,-17.984177254332362,-8.693420962829787,True,False
countryside,bus,BEV,0.5,173,True,25.748051294945938,20.90592334494773,19.598617837423937,-6.149433457522001,-1.3073055075237932,True,False
countryside,bus,BEV,0.7,173,True,20.624901944219843,10.73170731707317,7.624046222379041,-13.000855721840802,-3.1076610946941283,True,False
alleyway,sed,3D,0.3,3844,True,61.58891000638219,39.07215294721143,38.10762820311203,-23.481281803270164,-0.9645247440993998,True,False
alleyway,sed,3D,0.5,3844,True,38.52127238039093,20.96564531014054,21.068004816468736,-17.453267563922196,0.10235950632819524,True,False
alleyway,sed,3D,0.7,3844,True,8.667705024309276,4.01230981209457,2.7090036760373577,-5.958701348271918,-1.3033061360572127,True,False
alleyway,sed,BEV,0.3,3844,True,66.94976453519433,42.31873165539752,41.15283803680305,-25.796926498391286,-1.165893618594474,True,False
