method,condition,cls,metric,iou,ap
"ASF (local, 11 epochs)",night,sed,3d,0.5,46.13820932721902
"ASF (local, 11 epochs)",night,sed,3d,0.7,10.22372164072132
"ASF (local, 11 epochs)",night,sed,bev,0.3,73.45215062824795
"ASF (local, 11 epochs)",night,sed,bev,0.5,64.07458915365082
"ASF (local, 11 epochs)",night,sed,bev,0.7,39.61404633304071
"ASF (local, 11 epochs)",night,bus,3d,0.3,57.510570573812636
"ASF (local, 11 epochs)",night,bus,3d,0.5,32.12352034011734
"ASF (local, 11 epochs)",night,bus,3d,0.7,10.135766555929466
"ASF (local, 11 epochs)",night,bus,bev,0.3,74.7162932138389
"ASF (local, 11 epochs)",night,bus,bev,0.5,56.25698641757757
"ASF (local, 11 epochs)",night,bus,bev,0.7,22.114299216932285
"ASF (local, 11 epochs)",urban,sed,3d,0.3,77.49162474567606
"ASF (local, 11 epochs)",urban,sed,3d,0.5,54.734124094475746
"ASF (local, 11 epochs)",urban,sed,3d,0.7,14.082322548249405
"ASF (local, 11 epochs)",urban,sed,bev,0.3,80.62121802102948
"ASF (local, 11 epochs)",urban,sed,bev,0.5,73.86459168297692
"ASF (local, 11 epochs)",urban,sed,bev,0.7,47.899502070110515
"ASF (local, 11 epochs)",urban,bus,3d,0.3,87.37512776250581
"ASF (local, 11 epochs)",urban,bus,3d,0.5,44.44745584705285
"ASF (local, 11 epochs)",urban,bus,3d,0.7,16.961427195749202
"ASF (local, 11 epochs)",urban,bus,bev,0.3,88.32550384702215
"ASF (local, 11 epochs)",urban,bus,bev,0.5,83.39543660308485
"ASF (local, 11 epochs)",urban,bus,bev,0.7,42.13975962850432
"ASF (local, 11 epochs)",highway,sed,3d,0.3,83.2245241802804
"ASF (local, 11 epochs)",highway,sed,3d,0.5,56.0233096248977
"ASF (local, 11 epochs)",highway,sed,3d,0.7,5.239894193047869
"ASF (local, 11 epochs)",highway,sed,bev,0.3,85.97118907446226
"ASF (local, 11 epochs)",highway,sed,bev,0.5,79.71028730945888
"ASF (local, 11 epochs)",highway,sed,bev,0.7,41.53378393688206
"ASF (local, 11 epochs)",highway,bus,3d,0.3,52.093761724423125
"ASF (local, 11 epochs)",highway,bus,3d,0.5,26.473632520138334
"ASF (local, 11 epochs)",highway,bus,3d,0.7,6.88979231289055
"ASF (local, 11 epochs)",highway,bus,bev,0.3,64.78477420515686
"ASF (local, 11 epochs)",highway,bus,bev,0.5,45.8853837837409
"ASF (local, 11 epochs)",highway,bus,bev,0.7,15.618913971382392
"ASF (local, 11 epochs)",countryside,sed,3d,0.3,64.27475193039355
"ASF (local, 11 epochs)",countryside,sed,3d,0.5,37.997980819941986
"ASF (local, 11 epochs)",countryside,sed,3d,0.7,9.699165434528869
"ASF (local, 11 epochs)",countryside,sed,bev,0.3,66.9959380629474
"ASF (local, 11 epochs)",countryside,sed,bev,0.5,57.98658455308355
"ASF (local, 11 epochs)",countryside,sed,bev,0.7,24.534564935207904
"ASF (local, 11 epochs)",countryside,bus,3d,0.3,32.50861943292939
"ASF (local, 11 epochs)",countryside,bus,3d,0.5,20.361657449407712
"ASF (local, 11 epochs)",countryside,bus,3d,0.7,2.011566507417651
"ASF (local, 11 epochs)",countryside,bus,bev,0.3,33.01707283339061
"ASF (local, 11 epochs)",countryside,bus,bev,0.5,23.576870120682376
"ASF (local, 11 epochs)",countryside,bus,bev,0.7,13.255992797820927
"ASF (local, 11 epochs)",alleyway,sed,3d,0.3,38.1990779740102
"ASF (local, 11 epochs)",alleyway,sed,3d,0.5,19.22413538419607
"ASF (local, 11 epochs)",alleyway,sed,3d,0.7,1.808018135380053
"ASF (local, 11 epochs)",alleyway,sed,bev,0.3,41.343735902534625
"ASF (local, 11 epochs)",alleyway,sed,bev,0.5,35.27587655918054
"ASF (local, 11 epochs)",alleyway,sed,bev,0.7,16.265594976022683
"ASF (local, 11 epochs)",alleyway,bus,3d,0.3,18.363956274120792
"ASF (local, 11 epochs)",alleyway,bus,3d,0.5,3.10207980909744
"ASF (local, 11 epochs)",alleyway,bus,3d,0.7,0.023679848448969924
"ASF (local, 11 epochs)",alleyway,bus,bev,0.3,19.757097647850603
"ASF (local, 11 epochs)",alleyway,bus,bev,0.5,6.908397422761549
"ASF (local, 11 epochs)",alleyway,bus,bev,0.7,0.6728343145500421
"ASF (local, 11 epochs)",parkinglots,sed,3d,0.3,70.71748883982923
"ASF (local, 11 epochs)",parkinglots,sed,3d,0.5,48.57289942069273
"ASF (local, 11 epochs)",parkinglots,sed,3d,0.7,22.728419545505176
"ASF (local, 11 epochs)",parkinglots,sed,bev,0.3,71.31646138925004
"ASF (local, 11 epochs)",parkinglots,sed,bev,0.5,60.370435274530344
"ASF (local, 11 epochs)",parkinglots,sed,bev,0.7,34.78249372511799
"ASF (local, 11 epochs)",parkinglots,bus,3d,0.3,63.315859104525764
"ASF (local, 11 epochs)",parkinglots,bus,3d,0.5,26.486392891548416
"ASF (local, 11 epochs)",parkinglots,bus,3d,0.7,3.5381312449627873
"ASF (local, 11 epochs)",parkinglots,bus,bev,0.3,66.62418303589587
"ASF (local, 11 epochs)",parkinglots,bus,bev,0.5,47.09925638145299
"ASF (local, 11 epochs)",parkinglots,bus,bev,0.7,7.193893329689599
"ASF (local, 11 epochs)",shoulder,sed,3d,0.3,97.30201037802394
"ASF (local, 11 epochs)",shoulder,sed,3d,0.5,94.59314777997628
"ASF (local, 11 epochs)",shoulder,sed,3d,0.7,71.95045897512752
"ASF (local, 11 epochs)",shoulder,sed,bev,0.3,99.88009006765303
"ASF (local, 11 epochs)",shoulder,sed,bev,0.5,99.82566019618734
"ASF (local, 11 epochs)",shoulder,sed,bev,0.7,87.4812745139135
"ASF (local, 11 epochs)",shoulder,bus,3d,0.3,0.0
